Any,Núm. Mes,Nom Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Tipus de fet,Tipus de fet (Codi penal) o d’Infracció (altres lleis),Àmbit fet,Rol,Sexe,Edat,Nombre víctimes
2021,1,gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Amenaces (lleu),LGTBI-fòbia,Víctima,HOME,26,1
2021,1,gener,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Tarragona,Via Pública urbana,Delicte,Lesions (lleu),Orientació política,Víctima,HOME,46,1
2021,1,gener,RP Central,ABP Anoia,Barcelona,Anoia,Igualada,Hotel,Delicte,Tracte degradant / vexatori,Orientació política,Víctima,HOME,24,1
2021,1,gener,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Centre d'Atenció Primària,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Víctima,DONA,37,1
2021,1,gener,RP Metropolitana Barcelona,ABP Sarrià-Sant Gervasi,Barcelona,Barcelonès,Barcelona,Sense especificar,Delicte,Danys (lleu),Ètnic/origen nacional/origen racial,Persona autora,DONA,58,1
2021,1,gener,RP Metropolitana Barcelona,ABP Sarrià-Sant Gervasi,Barcelona,Barcelonès,Barcelona,0,Delicte,Danys (lleu),Etnic/origen nacional/origen racial,Víctima,DONA,39,1
2021,1,gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Depen. Govern Local,Delicte,Furt (lleu),Sexisme,Persona autora,HOME,20,1
2021,1,gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Depen. Govern Local,Delicte,Furt (lleu),Sexisme,Víctima,DONA,43,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),Antisemita,Persona autora,HOME,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),Antisemita,Persona autora,HOME,25,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),Antisemita,Persona autora,HOME,15,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),Antisemita,Persona autora,HOME,25,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),Antisemita,Persona autora,HOME,33,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),Antisemita,Víctima,HOME,55,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Moianès,Calders,Escola,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Víctima,HOME,31,1
2021,2,febrer,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Celrà,Benzinera_COM,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Víctima,HOME,52,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Manresa,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,DONA,45,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Manresa,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,HOME,13,1
2021,2,febrer,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,Barcelona,Baix Llobregat,Sant Vicenç dels Horts,Hab. Altres espais,Delicte,Abusos sexuals,Discapacitat psíquic/mental,Persona autora,DONA,14,1
2021,2,febrer,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,Barcelona,Baix Llobregat,Sant Vicenç dels Horts,Hab. Altres espais,Delicte,Abusos sexuals,Discapacitat psíquic/mental,Víctima,DONA,17,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,DONA,50,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Víctima,DONA,32,1
2021,2,febrer,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Reus,Institut,Delicte,Assetjament,LGTBI-fòbia,Persona autora,HOME,25,1
2021,2,febrer,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Reus,Institut,Delicte,Assetjament,LGTBI-fòbia,Víctima,DONA,48,1
2021,2,febrer,RP Girona,ABP Girona,Girona,Gironès,Resta municipis ABP Girona,Hab. 1a Res. Casa adossada,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,HOME,50,1
2021,2,febrer,RP Girona,ABP Girona,Girona,Gironès,Fornells de la Selva,Hab. 1a Res. Casa adossada,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Víctima,DONA,40,1
2021,2,febrer,RP Girona,ABP Girona,Girona,Gironès,Fornells de la Selva,Hab. 1a Res. Casa adossada,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Víctima,HOME,37,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Gràcia,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Amenaces (lleu),LGTBI-fòbia,Víctima,HOME,36,1
2021,2,febrer,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Hab. Altres espais,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Persona autora,HOME,36,1
2021,2,febrer,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Hab. Altres espais,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Víctima,DONA,19,1
2021,2,febrer,RP Girona,ABP Baix Empordà - La Bisbal,Girona,Baix Empordà,Palafrugell,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Religiós,Víctima,HOME,60,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Amenaces (lleu),LGTBI-fòbia,Persona autora,HOME,16,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Amenaces (lleu),LGTBI-fòbia,Persona autora,HOME,15,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Amenaces (lleu),LGTBI-fòbia,Persona autora,HOME,15,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Amenaces (lleu),LGTBI-fòbia,Víctima,DONA,32,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,HOME,39,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,HOME,36,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,DONA,30,1
2021,2,febrer,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,Barcelona,Barcelonès,Santa Coloma de Gramenet,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,HOME,42,1
2021,2,febrer,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,Barcelona,Barcelonès,Santa Coloma de Gramenet,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,HOME,46,1
2021,2,febrer,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,Barcelona,Barcelonès,Santa Coloma de Gramenet,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,HOME,48,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Amenaces (lleu),LGTBI-fòbia,Persona autora,HOME,47,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Pis/apartament,Delicte,Amenaces (lleu),LGTBI-fòbia,Víctima,DONA,24,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,HOME,21,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,HOME,21,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,HOME,21,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,HOME,25,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,HOME,20,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,DONA,52,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Persona autora,DONA,17,1
2021,2,febrer,RP Central,ABP Osona,Barcelona,Osona,Vic,Hab. 1a Res. Pis/apartament,Delicte,Contra exer. drets fonamentals i llib. públiques,Orientació política,Víctima,HOME,46,1
2021,2,febrer,RP Camp de Tarragona,ABP Alt Camp - C. de Barberà,Tarragona,Alt Camp,Valls,Hab. 1a Res. Pis/apartament,Delicte,Danys (lleu),Orientació política,Persona autora,HOME,56,1
2021,2,febrer,RP Metropolitana Sud,ABP Hospitalet de Llobregat,Barcelona,Baix Llobregat,l' Hospitalet de Llobregat,Via Pública urbana,Delicte,Contra la llib. consciència i sent. religiosos,Orientació política,Persona autora,HOME,19,1
2021,2,febrer,RP Metropolitana Sud,ABP Hospitalet de Llobregat,Barcelona,Baix Llobregat,l' Hospitalet de Llobregat,Via Pública urbana,Delicte,Contra la llib. consciència i sent. religiosos,Orientació política,Persona autora,HOME,21,1
2021,2,febrer,RP Metropolitana Sud,ABP Hospitalet de Llobregat,Barcelona,Baix Llobregat,l' Hospitalet de Llobregat,Via Pública urbana,Delicte,Contra la llib. consciència i sent. religiosos,Orientació política,Víctima,HOME,18,1
2021,2,febrer,RP Metropolitana Sud,ABP Hospitalet de Llobregat,Barcelona,Baix Llobregat,l' Hospitalet de Llobregat,Via Pública urbana,Delicte,Contra la llib. consciència i sent. religiosos,Orientació política,Víctima,HOME,20,1
2021,2,febrer,RP Metropolitana Sud,ABP Hospitalet de Llobregat,Barcelona,Baix Llobregat,l' Hospitalet de Llobregat,Via Pública urbana,Delicte,Contra la llib. consciència i sent. religiosos,Orientació política,Víctima,HOME,17,1
2021,2,febrer,RP Metropolitana Sud,ABP Esplugues de Llobregat,Barcelona,Baix Llobregat,Sant Just Desvern,Via Pública urbana,Delicte,Lesions (lleu),Orientació política,Víctima,HOME,45,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,DONA,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,25,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,25,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,19,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions,Orientació política,Persona autora,HOME,15,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Tracte degradant / vexatori,LGTBI-fòbia,Persona autora,DONA,63,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Tracte degradant / vexatori,LGTBI-fòbia,Víctima,HOME,26,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Manresa,Supermercat_COM,Delicte,Tracte degradant / vexatori,Ètnic/origen nacional/origen racial,Persona autora,HOME,22,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Manresa,Supermercat_COM,Delicte,Tracte degradant / vexatori,Etnic/origen nacional/origen racial,Víctima,HOME,31,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,HOME,33,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,HOME,60,1
2021,2,febrer,RP Metropolitana Barcelona,Unitat d'informació RPMB,Barcelona,Barcelonès,RP Metropolitana Barcelona,Depen. Mossos d'Esquadra,Delicte,Amenaces,Etnic/origen nacional/origen racial,Víctima,HOME,56,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Castellbell i el Vilar,Via Pública urbana,Delicte,Lesions (lleu),LGTBI-fòbia,Víctima,HOME,15,1
2021,2,febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Via Pública urbana,Delicte,Robatori amb força interior vehicle,LGTBI-fòbia,Persona autora,HOME,15,1
2021,2,febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Via Pública urbana,Delicte,Robatori amb força interior vehicle,LGTBI-fòbia,Persona autora,HOME,15,1
2021,2,febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Via Pública urbana,Delicte,Robatori amb força interior vehicle,LGTBI-fòbia,Persona autora,HOME,14,1
2021,2,febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Via Pública urbana,Delicte,Robatori amb força interior vehicle,LGTBI-fòbia,Víctima,DONA,56,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Resta municipis ABP Bages,Parcs/Jardins,Infracció administrativa,Tinença/utilitz. armes reglam. excedint-se els límits,Ètnic/origen nacional/origen racial,Persona autora,HOME,46,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Resta municipis ABP Bages,Parcs/Jardins,Infracció administrativa,Tinença/utilitz. armes reglam. excedint-se els límits,Ètnic/origen nacional/origen racial,Persona autora,DONA,17,1
2021,2,febrer,RP Central,ABP Bages,Barcelona,Bages,Sant Joan de Vilatorrada,Parcs/Jardins,Infracció administrativa,Tinença/utilitz. armes reglam. excedint-se els límits,Etnic/origen nacional/origen racial,Víctima,HOME,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Tren FGC estació,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,HOME,37,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Tren FGC estació,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,DONA,49,1
2021,2,febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via Pública urbana,Delicte,Assassinat,Ètnic/origen nacional/origen racial,Persona autora,HOME,30,1
2021,2,febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via Pública urbana,Delicte,Assassinat,Etnic/origen nacional/origen racial,Víctima,HOME,56,1
2021,2,febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via Pública urbana,Delicte,Assassinat,Etnic/origen nacional/origen racial,Víctima,HOME,12,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Casa adossada,Delicte,Tracte degradant / vexatori,LGTBI-fòbia,Persona autora,HOME,28,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Casa adossada,Delicte,Tracte degradant / vexatori,LGTBI-fòbia,Víctima,HOME,48,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Hab. 1a Res. Casa adossada,Delicte,Tracte degradant / vexatori,LGTBI-fòbia,Víctima,HOME,30,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Autobús,Delicte,Tracte degradant / vexatori,Orientació política,Persona autora,HOME,61,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Autobús,Delicte,Tracte degradant / vexatori,Orientació política,Persona autora,HOME,39,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Autobús,Delicte,Tracte degradant / vexatori,Orientació política,Persona autora,HOME,45,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Autobús,Delicte,Tracte degradant / vexatori,Orientació política,Víctima,HOME,44,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Autobús,Delicte,Tracte degradant / vexatori,Orientació política,Víctima,HOME,42,1
2021,2,febrer,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Rubí,Via Pública urbana,Delicte,Danys (lleu),LGTBI-fòbia,Víctima,HOME,18,1
2021,2,febrer,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Rubí,Via Pública urbana,Delicte,Danys (lleu),LGTBI-fòbia,Víctima,DONA,20,1
2021,2,febrer,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Rubí,Hospital,Delicte,Lesions (lleu),LGTBI-fòbia,Víctima,DONA,20,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,HOME,22,1
2021,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,DONA,19,1
